Camaras_seguridad,Total_contratos,m2,Med_Hab,Med_baños,Med_Pers,Transporte,Areas verdes,Equip social,Equip ocio
0.0,1.3352941176470587,-0.44796380090497717,-1.6000000000000005,-1.5000000000000007,-0.10000000000000009,0.18181818181818182,0.4117647058823529,1.2037037037037037,9.571428571428571
0.3333333333333333,0.45588235294117646,1.144796380090496,-1.6000000000000005,-1.5000000000000007,-0.10000000000000009,0.030303030303030304,-0.29411764705882354,0.46296296296296297,9.142857142857142
0.6666666666666666,-0.20588235294117646,-0.945701357466062,-1.6000000000000005,-1.5000000000000007,-0.10000000000000009,0.3333333333333333,-0.5294117647058824,1.3333333333333333,3.7142857142857144
0.0,0.8970588235294118,0.03619909502262491,-1.6000000000000005,-1.5000000000000007,-0.10000000000000009,0.12121212121212122,1.1176470588235294,-0.25925925925925924,27.0
0.3333333333333333,0.5705882352941176,0.7692307692307684,0.1999999999999993,0.5000000000000006,0.0,0.06060606060606061,0.8823529411764706,1.6666666666666667,1.1428571428571428
0.0,1.45,0.045248868778281784,0.1999999999999993,0.5000000000000006,0.0,0.24242424242424243,0.7058823529411765,0.3333333333333333,1.4285714285714286
4.666666666666667,1.688235294117647,2.9049773755656085,0.1999999999999993,0.5000000000000006,0.0,2.9696969696969697,1.4705882352941178,1.5740740740740742,12.0
1.6666666666666667,1.7088235294117646,1.52941176470588,0.1999999999999993,0.5000000000000006,0.0,1.5757575757575757,0.6470588235294118,0.5,12.857142857142858
0.0,1.7970588235294118,0.4389140271493216,0.1999999999999993,0.5000000000000006,0.0,0.18181818181818182,1.4705882352941178,2.1481481481481484,2.0
0.3333333333333333,0.8823529411764706,0.5520361990950228,0.1999999999999993,0.5000000000000006,0.0,0.6060606060606061,0.8235294117647058,0.4444444444444444,2.0
1.0,0.7941176470588235,-0.7149321266968317,-0.40000000000000036,-1.0,0.0,2.8484848484848486,2.0,2.685185185185185,5.0
